word,freq
moro,4558
empresário,4529
chapa,4525
oficial,4518
sim,4518
tentar,4517
noite,4507
segunda,4504
mês,4489
responsável,4483
estratégia,4475
existe,4463
interesse,4438
fatos,4404
antonio,4400
manhã,4400
peemedebista,4398
boa,4383
instituto,4374
muitos,4370
ministra,4369
assessoria,4366
votar,4329
espaço,4328
penal,4325
legislativo,4310
geraldo,4308
comando,4306
fazenda,4304
pena,4298
total,4298
pretende,4283
mulher,4280
opinião,4275
futuro,4274
sessão,4270
declarou,4254
central,4251
forte,4251
discussão,4249
municípios,4247
deixou,4245
evitar,4244
pernambuco,4238
comunicação,4237
humanos,4223
horas,4218
hora,4214
combate,4205
equipe,4195
sabe,4189
grandes,4178
aumento,4159
econômico,4155
uso,4141
saída,4115
inquérito,4104
informou,4103
fala,4100
volta,4084
cenário,4083
relatório,4081
maia,4077
local,4072
mudanças,4071
destacou,4068
condições,4067
governos,4054
demais,4051
reportagem,4050
processos,4049
ex-diretor,4038
março,4038
pessoal,4023
propaganda,4e3
documentos,3999
palavra,3993
vista,3988
novas,3942
manifestações,3938
centro,3932
doações,3928
neto,3922
último,3920
pdt,3919
poderá,3914
pontos,3911
vitória,3907
organização,3900
seis,3892
fundo,3879
saber,3879
outubro,3870
domingo,3868
pasta,3864
sentido,3864
feitas,3861
marco,3861
próximo,3855
federais,3843
orçamento,3835
conversa,3833
agentes,3820
pedro,3808
liberdade,3807
tentativa,3803
risco,3798
marcelo,3792
novos,3787
defender,3782
deveria,3781
longo,3780
questões,3780
serviço,3748
programas,3747
construção,3745
eleitor,3741
informação,3732
trabalhadores,3726
ética,3718
resposta,3715
direção,3703
compra,3687
participar,3686
contrário,3684
presença,3681
financiamento,3676
logo,3671
razão,3657
algumas,3656
difícil,3645
mendes,3643
busca,3635
regime,3634
criar,3628
gilberto,3628
dez,3621
defende,3617
criticou,3607
abertura,3606
cardoso,3602
conforme,3601
investimentos,3591
rodrigo,3580
junho,3572
receber,3568
chefe,3567
mercado,3561
ruas,3560
levar,3551
começou,3550
eventual,3538
questionado,3537
necessidade,3535
popular,3523
posse,3522
único,3521
janot,3518
sarney,3516
coisas,3514
sigla,3512
intenção,3503
maneira,3502
agosto,3500
pagamentos,3499
chegar,3491
troca,3485
guerra,3484
contrato,3477
palocci,3473
função,3470
russomanno,3470
campo,3467
provas,3458
assembleia,3451
portanto,3450
procurador-geral,3449
gastos,3444
acusações,3443
discutir,3438
adversários,3429
algo,3424
interesses,3423
modelo,3422
próxima,3418
algum,3416
decidiu,3412
propinas,3411
junto,3403
calheiros,3402
fazendo,3399
inflação,3394
instituições,3382
pedir,3380
mudar,3379
condenado,3371
autoridades,3369
mínimo,3366
movimentos,3366
vereador,3363
parece,3357
fica,3356
pauta,3354
atos,3353
garantir,3346
análise,3342
cachoeira,3340
conseguiu,3339
escolha,3339
renda,3338
acusado,3332
negou,3329
gabinete,3324
voltou,3320
servidores,3317
aliada,3301
celso,3301
oito,3300
vários,3299
ocorreu,3295
deverá,3294
réus,3292
formação,3285
dezembro,3282
muita,3278
principalmente,3271
alguma,3261
muitas,3261
falou,3254
prefeitos,3247
alves,3243
ambiente,3236
procurador,3233
indicação,3228
real,3228
mulheres,3223
caminho,3220
condenação,3213
