dados,data_inicio,data_fim,n_layers,method,acuracia
noticias_folha,2014-05-30,2014-12-31,300,0,0.6666666666666666
noticias_folha,2014-01-01,2014-12-31,300,0,0.7916666666666666
noticias_folha,2014-05-30,2014-10-26,300,0,0.7083333333333334
noticias_folha,2014-01-01,2014-10-26,300,0,0.625
noticias_folha,2014-05-30,2014-12-31,400,0,0.625
noticias_folha,2014-01-01,2014-12-31,400,0,0.75
noticias_folha,2014-05-30,2014-10-26,400,0,0.6666666666666666
noticias_folha,2014-01-01,2014-10-26,400,0,0.6666666666666666
