word,freq
compra,5497
criação,5490
nenhuma,5480
verdade,5466
abertura,5441
assembleia,5423
força,5406
gastos,5395
ficar,5377
nomes,5375
psd,5370
vou,5358
desenvolvimento,5343
problema,5343
defendeu,5328
mesma,5328
central,5316
receber,5312
falta,5287
geraldo,5286
pasta,5281
processos,5277
deixou,5270
brasileiros,5269
horas,5269
lugar,5263
caixa,5260
problemas,5246
irregularidades,5240
neto,5238
fala,5232
ex-diretor,5231
ideia,5231
acompanhe,5220
novos,5192
tema,5190
manter,5169
copa,5166
kassab,5154
tipo,5140
causa,5137
municípios,5136
assunto,5131
recurso,5130
importante,5124
uso,5121
federais,5120
maia,5111
funcionários,5109
começou,5101
procuradoria,5100
cachoeira,5098
coisa,5090
quarta,5082
avaliação,5078
abril,5057
orçamento,5043
pedir,5023
lista,5016
dezembro,5015
centro,5013
réus,5006
julho,4997
spaulo,4996
preciso,4984
próxima,4977
econômico,4967
equipe,4964
posição,4942
povo,4939
setembro,4934
judiciário,4918
alves,4908
desse,4900
maio,4899
policiais,4898
história,4892
condenado,4881
denúncias,4876
lavagem,4864
ponto,4860
responsabilidade,4857
nega,4852
presidencial,4840
sete,4826
ocorreu,4821
pernambuco,4821
cassação,4815
contrato,4813
pagar,4811
geral,4802
irá,4795
comunicação,4793
suspeita,4775
receita,4774
projetos,4762
feitas,4755
jornais,4750
exterior,4749
cabral,4746
condições,4746
ninguém,4741
resposta,4737
conseguiu,4725
próximo,4722
ver,4719
pedro,4718
marcelo,4701
antonio,4699
agenda,4696
mendes,4689
cidades,4674
regional,4667
pagamentos,4647
novas,4645
participar,4626
inclusive,4624
mercado,4621
bom,4616
propostas,4612
posse,4609
diante,4606
oito,4588
regime,4587
ética,4566
democracia,4565
informação,4561
presos,4550
políticas,4547
tanto,4547
atuação,4544
provas,4541
toda,4532
sarney,4523
youssef,4506
acusado,4503
globo,4485
fevereiro,4484
trabalhadores,4478
discussão,4475
dessa,4472
própria,4472
tcu,4471
risco,4467
controle,4455
