dados,data_inicio,data_fim,n_layers,method,acuracia
noticias_estadao,2014-05-30,2014-12-31,100,1,NA
noticias_estadao,2014-01-01,2014-12-31,100,1,NA
noticias_estadao,2014-05-30,2014-10-26,100,1,0.08333333333333333
noticias_estadao,2014-01-01,2014-10-26,100,1,0.125
noticias_estadao,2014-05-30,2014-12-31,200,1,0.041666666666666664
noticias_estadao,2014-01-01,2014-12-31,200,1,0.16666666666666666
noticias_estadao,2014-05-30,2014-10-26,200,1,0.08333333333333333
noticias_estadao,2014-01-01,2014-10-26,200,1,0.041666666666666664
